mun7;areap;controle;peso;idade;sexof;ge_pia
2408102;2408102004019; 951925;18,363009;  0;Feminino;[0,15)
2408102;2408102004019;1323471;20,944764;  0;Masculino;[0,15)
2408102;2408102004019;2210849;26,022173;  0;Feminino;[0,15)
2408102;2408102004019;2933971;20,692662;  0;Masculino;[0,15)
2408102;2408102004019;3094998;20,146786;  0;Feminino;[0,15)
2408102;2408102004019;4120428;21,158027;  0;Feminino;[0,15)
2408102;2408102004019;4201740;22,618194;  0;Feminino;[0,15)
2408102;2408102004019;4405145;12,549978;  0;Feminino;[0,15)
2408102;2408102004019;4903951;23,287703;  0;Masculino;[0,15)
2408102;2408102004019;5614540;14,877567;  0;Feminino;[0,15)
2408102;2408102004019;6010077;29,190375;  0;Masculino;[0,15)
2408102;2408102004020;  39968;20,508770;  0;Feminino;[0,15)
2408102;2408102004020; 114224;25,726890;  0;Masculino;[0,15)
2408102;2408102004020; 455066;17,558276;  0;Feminino;[0,15)
2408102;2408102004020;1206763;24,124344;  0;Masculino;[0,15)
2408102;2408102004020;1391194;21,968442;  0;Masculino;[0,15)
2408102;2408102004020;1607029;32,645546;  0;Masculino;[0,15)
2408102;2408102004020;1881293;26,247094;  0;Feminino;[0,15)
2408102;2408102004020;2348959;31,824343;  0;Feminino;[0,15)
2408102;2408102004020;2447556;19,134968;  0;Feminino;[0,15)
2408102;2408102004020;2492257;15,762853;  0;Feminino;[0,15)
2408102;2408102004020;2628812;28,388683;  0;Masculino;[0,15)
2408102;2408102004020;2847446;20,812059;  0;Masculino;[0,15)
2408102;2408102004020;2898788;15,392610;  0;Feminino;[0,15)
2408102;2408102004020;2995467;19,460736;  0;Masculino;[0,15)
2408102;2408102004020;3336466;16,124468;  0;Feminino;[0,15)
2408102;2408102004020;3876085;24,267748;  0;Masculino;[0,15)
2408102;2408102004020;4777829;32,837699;  0;Masculino;[0,15)
2408102;2408102004020;4890329;19,708767;  0;Masculino;[0,15)
2408102;2408102004020;5020315;24,179171;  0;Feminino;[0,15)
2408102;2408102004020;5201525;22,032572;  0;Masculino;[0,15)
2408102;2408102004020;5319793;23,880521;  0;Masculino;[0,15)
2408102;2408102004020;5383508;14,242616;  0;Feminino;[0,15)
2408102;2408102004020;5562467;20,764053;  0;Masculino;[0,15)
2408102;2408102004020;5793644;20,298346;  0;Feminino;[0,15)
2408102;2408102004020;6111219;17,136931;  0;Masculino;[0,15)
2408102;2408102004020;6115192;20,077410;  0;Feminino;[0,15)
2408102;2408102004020;6184284;27,350558;  0;Feminino;[0,15)
2408102;2408102004021; 126743;23,593778;  0;Masculino;[0,15)
2408102;2408102004021; 367587;19,106662;  0;Feminino;[0,15)
2408102;2408102004021;1109143;18,019234;  0;Masculino;[0,15)
2408102;2408102004021;1186243;24,180324;  0;Feminino;[0,15)
2408102;2408102004021;1366528;21,574327;  0;Feminino;[0,15)
2408102;2408102004021;1458900;15,093776;  0;Masculino;[0,15)
2408102;2408102004021;2767536;21,397160;  0;Feminino;[0,15)
2408102;2408102004021;2929916;10,612336;  0;Masculino;[0,15)
2408102;2408102004021;3048901;12,342616;  0;Masculino;[0,15)
2408102;2408102004021;3126175;15,466795;  0;Masculino;[0,15)
2408102;2408102004021;3355722;20,346092;  0;Feminino;[0,15)
2408102;2408102004021;3367506;23,252070;  0;Feminino;[0,15)
2408102;2408102004021;3453945;25,897120;  0;Feminino;[0,15)
2408102;2408102004021;3690523;18,020764;  0;Feminino;[0,15)
2408102;2408102004021;4467450;15,273991;  0;Masculino;[0,15)
2408102;2408102004021;4939153;14,486221;  0;Feminino;[0,15)
2408102;2408102004021;4970075;14,486221;  0;Feminino;[0,15)
