"";"V0011";"V0300";"V0010";"V6036";"mun7";"V0601f";"ge_pia"
"248641";"2408102004010";4084163;28,4587907359088;0;2408102;"Feminino";"[0,15)"
"248644";"2408102004010";4126517;17,3712842241358;0;2408102;"Feminino";"[0,15)"
"248691";"2408102004010";4273647;18,5930959642996;0;2408102;"Feminino";"[0,15)"
"248789";"2408102004010";4796768;42,4018669704318;0;2408102;"Masculino";"[0,15)"
"248856";"2408102004010";5095110;11,4876082004556;0;2408102;"Feminino";"[0,15)"
"248863";"2408102004010";5110072;24,2136480124467;0;2408102;"Feminino";"[0,15)"
"248983";"2408102004010";5642608;27,8910500093641;0;2408102;"Masculino";"[0,15)"
"249071";"2408102004010";6030845;26,4351165529688;0;2408102;"Feminino";"[0,15)"
"249202";"2408102004011";366707;28,1332770332353;0;2408102;"Masculino";"[0,15)"
"249288";"2408102004011";806663;32,5989851765981;0;2408102;"Masculino";"[0,15)"
"249307";"2408102004011";882833;20,8374426048301;0;2408102;"Feminino";"[0,15)"
"249311";"2408102004011";899949;26,7874906552514;0;2408102;"Feminino";"[0,15)"
"249355";"2408102004011";1130794;18,0266015729306;0;2408102;"Feminino";"[0,15)"
"249442";"2408102004011";1484961;10,5213544357668;0;2408102;"Masculino";"[0,15)"
"249521";"2408102004011";1785894;33,5902575405682;0;2408102;"Masculino";"[0,15)"
"249562";"2408102004011";1885321;43,0975658148299;0;2408102;"Feminino";"[0,15)"
"249714";"2408102004011";2568541;20,5921455907722;0;2408102;"Feminino";"[0,15)"
"249789";"2408102004011";2972074;9,9891683911143;0;2408102;"Feminino";"[0,15)"
"250305";"2408102004011";5130931;10,8316480183522;0;2408102;"Feminino";"[0,15)"
"250323";"2408102004011";5256493;27,084114616539;0;2408102;"Masculino";"[0,15)"
"251006";"2408102004012";1996707;26,7027733355189;0;2408102;"Feminino";"[0,15)"
"251296";"2408102004012";3210676;21,1979222078198;0;2408102;"Masculino";"[0,15)"
"251396";"2408102004012";3677393;27,4985924864108;0;2408102;"Masculino";"[0,15)"
"251857";"2408102004012";5359018;20,0373700428383;0;2408102;"Feminino";"[0,15)"
"251905";"2408102004012";5625853;23,3634597386131;0;2408102;"Masculino";"[0,15)"
"251939";"2408102004012";5786333;25,7690020615119;0;2408102;"Masculino";"[0,15)"
"251991";"2408102004012";5993053;13,4810768096887;0;2408102;"Masculino";"[0,15)"
"252352";"2408102004013";1529399;18,3923357151737;0;2408102;"Masculino";"[0,15)"
"252470";"2408102004013";2162386;19,7652237183424;0;2408102;"Masculino";"[0,15)"
"252523";"2408102004013";2346313;22,7384222396517;0;2408102;"Masculino";"[0,15)"
"252708";"2408102004013";3060470;43,7016454599181;0;2408102;"Masculino";"[0,15)"
"252887";"2408102004013";3749210;20,29794224257;0;2408102;"Feminino";"[0,15)"
"253108";"2408102004013";4800281;30,2301114042449;0;2408102;"Feminino";"[0,15)"
"253177";"2408102004013";5090269;31,9692641346709;0;2408102;"Feminino";"[0,15)"
"253196";"2408102004013";5151026;42,5003861650106;0;2408102;"Masculino";"[0,15)"
"253475";"2408102004014";171495;20,3002384444413;0;2408102;"Feminino";"[0,15)"
"253497";"2408102004014";223994;19,6730537620175;0;2408102;"Feminino";"[0,15)"
"253644";"2408102004014";670590;30,190659540253;0;2408102;"Feminino";"[0,15)"
"253683";"2408102004014";788341;15,2469897699055;0;2408102;"Feminino";"[0,15)"
"253704";"2408102004014";812270;15,6275028630292;0;2408102;"Masculino";"[0,15)"
"253814";"2408102004014";1367357;16,9876594465663;0;2408102;"Feminino";"[0,15)"
"253898";"2408102004014";1753513;9,6632389857307;0;2408102;"Feminino";"[0,15)"
"253998";"2408102004014";2279603;19,6740245984946;0;2408102;"Feminino";"[0,15)"
"254010";"2408102004014";2317118;13,0115655127633;0;2408102;"Masculino";"[0,15)"
"254023";"2408102004014";2345847;19,832091937814;0;2408102;"Feminino";"[0,15)"
"254039";"2408102004014";2462964;16,5164931382871;0;2408102;"Masculino";"[0,15)"
"254106";"2408102004014";2680931;18,7542418783799;0;2408102;"Masculino";"[0,15)"
"254131";"2408102004014";2770250;31,8476294443075;0;2408102;"Feminino";"[0,15)"
